Bloomberg ID,Actual Cover,No Synth Pred,No Synth Error,bootstrap Pred,bootstrap Error,ctgan Pred,ctgan Error,glow Pred,glow Error,ddpm Pred,ddpm Error
SNDPT 2019-1A E,84.162,73.825,-10.337,71.913,-12.249,66.605,-17.557,76.408,-7.754,75.254,-8.908
SNDPT 2019-4A ER,88.022,81.336,-6.686,84.435,-3.587,86.643,-1.379,87.223,-0.799,85.982,-2.04
TRNTS 2019-11A ER,71.0,77.644,6.644,79.146,8.146,80.845,9.845,77.2,6.2,78.041,7.041
DRSLF 2015-40A ER,85.777,81.809,-3.968,85.887,0.11,86.368,0.591,76.627,-9.15,86.447,0.67
EATON 2014-1RA E,93.915,90.239,-3.676,89.709,-4.206,90.523,-3.392,91.31,-2.605,90.417,-3.498
OCT18 2018-18A D,84.0,80.357,-3.643,82.336,-1.664,81.326,-2.674,60.771,-23.229,80.661,-3.339
RRAM 2021-14A D,96.68,93.98,-2.7,94.892,-1.788,96.645,-0.035,94.766,-1.914,93.846,-2.834
FCBSL 2023-2A ER,91.0,93.631,2.631,94.303,3.303,94.709,3.709,93.693,2.693,94.721,3.721
RAD 2020-9A ER,96.256,98.601,2.345,98.297,2.041,98.52,2.264,98.291,2.035,98.385,2.129
AGL 2022-23A ER,95.0,97.328,2.328,97.747,2.747,98.795,3.795,97.387,2.387,97.238,2.238
DRSLF 2017-49A E,95.4,93.11,-2.29,90.357,-5.043,95.069,-0.331,93.208,-2.192,92.985,-2.415
RMRK 2017-1A D,99.333,97.054,-2.279,97.947,-1.386,98.05,-1.283,97.278,-2.055,97.41,-1.923
OCT16 2013-1A ER,84.11,81.831,-2.279,86.326,2.216,83.462,-0.648,79.278,-4.832,83.305,-0.805
WINDR 2020-1A ER,97.0,99.1,2.1,99.248,2.248,99.753,2.753,98.921,1.921,99.045,2.045
OCT56 2021-1A E,82.58,80.512,-2.068,81.567,-1.013,82.031,-0.549,81.342,-1.238,81.418,-1.162
AGL 2025-40A E,92.5,94.541,2.041,94.669,2.169,94.471,1.971,94.759,2.259,94.569,2.069
OCT46 2020-2A ER,91.055,89.139,-1.916,89.198,-1.857,91.905,0.85,90.949,-0.106,89.361,-1.694
STKPK 2022-1A ER,85.388,87.303,1.915,86.223,0.835,88.236,2.848,86.12,0.732,86.312,0.924
INVCO 2025-1A E,94.43,96.312,1.882,96.402,1.972,97.137,2.707,96.867,2.437,96.979,2.549
BALLY 2019-1A DR,97.23,95.38,-1.85,95.278,-1.952,93.727,-3.503,95.771,-1.459,95.558,-1.672
CIFC 2013-2A B2LR,99.566,97.781,-1.785,97.788,-1.778,99.009,-0.557,98.169,-1.397,98.733,-0.833
POST 2021-1A ER,94.0,92.269,-1.731,92.312,-1.688,93.655,-0.345,91.912,-2.088,90.964,-3.036
DRSLF 2016-43A ER3,95.28,96.981,1.701,96.51,1.23,95.666,0.386,96.469,1.189,96.661,1.381
JTWN 2020-15A ER,95.37,93.675,-1.695,93.673,-1.697,95.297,-0.073,93.531,-1.839,93.328,-2.042
PUTNM 2023-1A ER,98.0,96.306,-1.694,97.227,-0.773,97.002,-0.998,96.836,-1.164,95.438,-2.562
EATON 2020-2A ER2,93.689,95.356,1.667,96.074,2.385,98.774,5.085,95.602,1.913,96.225,2.536
PXLY 2024-1A E,93.772,95.433,1.661,96.104,2.332,97.279,3.507,95.079,1.307,95.73,1.958
OCT51 2021-1A ER,93.74,95.346,1.606,95.594,1.854,96.92,3.18,95.051,1.311,95.341,1.601
OAKC 2018-1A ER,99.78,98.195,-1.585,97.958,-1.822,97.846,-1.934,98.214,-1.566,98.316,-1.464
REG18 2021-1A ER,97.52,99.071,1.551,99.187,1.667,99.244,1.724,99.207,1.687,98.887,1.367
AIMCO 2024-19A E,99.75,98.207,-1.543,98.329,-1.421,97.741,-2.009,98.471,-1.279,98.783,-0.967
WOODS 2018-11BA ER,99.81,101.348,1.538,100.816,1.006,100.32,0.51,100.474,0.664,100.833,1.023
PAIA 2021-1A DR,98.766,97.257,-1.509,97.192,-1.574,97.063,-1.703,97.428,-1.338,96.801,-1.965
SYMP 2023-38A ER,97.431,98.93,1.499,98.746,1.315,99.222,1.791,98.741,1.31,98.802,1.371
BBAM 2023-2A D,100.448,101.911,1.463,102.0,1.552,100.445,-0.003,102.57,2.122,102.359,1.911
BRYPK 2023-20A ER,102.521,101.068,-1.453,101.074,-1.447,101.435,-1.086,101.056,-1.465,101.921,-0.6
CANYC 2020-1A ER2,99.516,98.155,-1.361,98.273,-1.243,97.639,-1.877,98.744,-0.772,98.897,-0.619
WBOX 2020-2A E1R2,98.08,99.407,1.327,98.824,0.744,99.698,1.618,98.61,0.53,99.387,1.307
SCUL 26A ER,99.0,97.728,-1.272,98.036,-0.964,96.628,-2.372,97.226,-1.774,97.961,-1.039
PLMRS 2021-2A ER,94.06,95.327,1.267,94.848,0.788,96.091,2.031,95.391,1.331,95.696,1.636
NEUB 2025-60A E,98.0,96.741,-1.259,97.23,-0.77,96.5,-1.5,97.473,-0.527,97.261,-0.739
APID 2015-22A DR,100.272,101.512,1.24,101.994,1.722,101.34,1.068,102.27,1.998,102.854,2.582
FLAT 2025-30A E,101.059,99.837,-1.222,99.841,-1.218,99.436,-1.623,99.789,-1.27,100.017,-1.042
MIDO 2025-18A E,98.34,97.135,-1.205,97.178,-1.162,97.073,-1.267,97.08,-1.26,97.207,-1.133
CGMS 2016-3A ERR,98.616,99.78,1.164,99.767,1.151,98.721,0.105,98.862,0.246,99.456,0.84
AIMCO 2025-24A E,102.26,101.12,-1.14,101.351,-0.909,101.077,-1.183,101.5,-0.76,101.582,-0.678
HLM 2023-18A ER,96.21,97.293,1.083,97.002,0.792,97.19,0.98,96.882,0.672,97.29,1.08
BSP 2021-23A ER,98.2,97.129,-1.071,96.764,-1.436,97.081,-1.119,97.113,-1.087,97.118,-1.082
PLMRS 2022-3A ER,96.67,95.638,-1.032,96.236,-0.434,96.545,-0.125,96.598,-0.072,96.349,-0.321
CGMS 2021-10A ER,101.57,100.571,-0.999,100.535,-1.035,100.613,-0.957,101.033,-0.537,101.208,-0.362
ARES 2022-64A ER,94.0,94.992,0.992,95.244,1.244,94.398,0.398,94.951,0.951,95.045,1.045
ARES 2015-4A DR,100.7,101.681,0.981,101.321,0.621,100.961,0.261,102.294,1.594,103.171,2.471
BLUEM 2020-29A ER,89.56,90.494,0.934,90.275,0.715,92.19,2.63,90.267,0.707,89.907,0.347
NEUB 2018-27A ER,101.339,100.408,-0.931,100.232,-1.107,99.629,-1.71,100.089,-1.25,100.363,-0.976
RMRK 2018-1A E,93.303,92.42,-0.883,92.219,-1.084,94.176,0.873,92.208,-1.095,92.556,-0.747
REG30 2024-4A E,93.0,93.861,0.861,94.031,1.031,93.74,0.74,94.358,1.358,94.077,1.077
TREST 2021-4A ER,100.421,99.566,-0.855,99.822,-0.599,99.447,-0.974,99.757,-0.664,99.761,-0.66
SPCLO 2022-1A ER,98.75,99.542,0.792,99.04,0.29,99.5,0.75,99.518,0.768,99.111,0.361
INVCO 2022-2A ER,95.567,96.347,0.78,96.552,0.985,95.377,-0.19,96.181,0.614,96.273,0.706
ROCKT 2024-1A E,100.369,99.604,-0.765,98.511,-1.858,99.18,-1.189,99.244,-1.125,99.326,-1.043
NEUB 2021-40A ER,100.355,99.613,-0.742,99.259,-1.096,99.455,-0.9,99.758,-0.597,99.671,-0.684
LAKPK 2025-1A E,99.961,99.296,-0.665,99.317,-0.644,99.92,-0.041,99.095,-0.866,99.074,-0.887
OAKCL 2022-2A ER2,97.47,96.805,-0.665,96.778,-0.692,96.0,-1.47,96.339,-1.131,96.838,-0.632
BGCLO 2024-8A E,101.551,102.188,0.637,102.27,0.719,101.406,-0.145,102.029,0.478,101.637,0.086
APID 2024-47A E,101.11,101.711,0.601,101.63,0.52,101.261,0.151,101.847,0.737,101.544,0.434
VOYA 2025-1A E,100.767,100.177,-0.59,100.283,-0.484,100.172,-0.595,100.232,-0.535,100.057,-0.71
NAVS 2025-4A E,100.22,99.631,-0.589,99.427,-0.793,100.142,-0.078,99.222,-0.998,99.745,-0.475
CIFC 2021-5A ER,97.53,96.973,-0.557,96.952,-0.578,96.531,-0.999,96.733,-0.797,96.981,-0.549
MDPK 2022-62A ER2,100.655,100.109,-0.546,99.868,-0.787,99.879,-0.776,99.771,-0.884,99.987,-0.668
SYMP 2024-42A E,98.65,98.109,-0.541,97.759,-0.891,98.324,-0.326,98.033,-0.617,98.176,-0.474
CAVU 2021-3A E,97.0,97.535,0.535,97.31,0.31,97.913,0.913,96.617,-0.383,95.65,-1.35
TCW 2025-1A E,98.789,99.321,0.532,99.249,0.46,99.865,1.076,99.126,0.337,98.992,0.203
RAD 2022-16A ER,99.267,98.742,-0.525,99.281,0.014,99.267,-0.0,99.295,0.028,99.652,0.385
SIXST 2020-15A ER,100.555,101.064,0.509,101.158,0.603,100.765,0.21,100.804,0.249,101.22,0.665
EMPWR 2023-2A ER,96.81,97.314,0.504,97.767,0.957,98.656,1.846,96.712,-0.098,96.903,0.093
VYSPK 2022-1A E1RR,88.0,88.501,0.501,88.685,0.685,90.199,2.199,88.169,0.169,86.708,-1.292
VOYA 2023-1A ER,99.55,99.124,-0.426,99.39,-0.16,99.345,-0.205,99.191,-0.359,99.345,-0.205
NEUB 2017-16SA ER2,99.235,98.824,-0.411,98.855,-0.38,98.803,-0.432,99.587,0.352,99.187,-0.048
MDPK 2021-48A ER,99.0,98.645,-0.355,98.927,-0.073,97.315,-1.685,98.124,-0.876,98.273,-0.727
RRAM 2025-37A D,99.81,99.497,-0.313,99.556,-0.254,99.801,-0.009,99.843,0.033,99.538,-0.272
NEUB 2020-38A ER2,98.9,99.203,0.303,99.352,0.452,99.839,0.939,99.093,0.193,99.172,0.272
OAKC 2020-6A ER2,97.315,97.606,0.291,97.257,-0.058,96.907,-0.408,97.159,-0.156,97.591,0.276
SIXST 2024-25A E,101.417,101.662,0.245,101.643,0.226,101.335,-0.082,101.352,-0.065,101.622,0.205
ELM26 2024-1A E,101.57,101.335,-0.235,101.615,0.045,101.567,-0.003,101.753,0.183,102.006,0.436
JTWN 2021-16A ER,95.635,95.411,-0.224,94.626,-1.009,95.628,-0.007,94.878,-0.757,95.724,0.089
CIFC 2021-4A ER,97.52,97.735,0.215,97.57,0.05,97.797,0.277,97.74,0.22,98.016,0.496
LODI 2024-1A E,89.78,89.577,-0.203,89.877,0.097,89.587,-0.193,90.845,1.065,89.185,-0.595
OBRAC 2024-1A E,100.28,100.465,0.185,100.426,0.146,100.47,0.19,99.951,-0.329,100.409,0.129
SHACK 2013-4RA D,98.75,98.925,0.175,99.012,0.262,99.488,0.738,100.226,1.476,99.737,0.987
BCC 2021-6A E,98.0,97.834,-0.166,97.64,-0.36,98.78,0.78,98.291,0.291,98.06,0.06
MDPK 2015-19A ER3,102.32,102.479,0.159,102.833,0.513,101.207,-1.113,102.332,0.012,102.966,0.646
GNRT 2024-14A E,98.23,98.072,-0.158,98.664,0.434,98.944,0.714,98.898,0.668,99.03,0.8
TRNTS 2023-23A ER,95.2,95.043,-0.157,95.038,-0.162,95.584,0.384,94.456,-0.744,94.502,-0.698
ORCHPK 2024-1A E,97.5,97.657,0.157,97.917,0.417,99.186,1.686,97.371,-0.129,97.429,-0.071
RAD 2024-28A E,94.01,94.159,0.149,94.298,0.288,95.002,0.992,94.039,0.029,94.457,0.447
MVEW 2025-1A E,95.0,95.142,0.142,95.227,0.227,96.069,1.069,95.588,0.588,95.645,0.645
MDPK 2019-34A ERR,96.0,96.141,0.141,96.717,0.717,96.016,0.016,95.998,-0.002,96.777,0.777
KKR 36A E,94.65,94.772,0.122,94.643,-0.007,95.17,0.52,94.308,-0.342,93.177,-1.473
WOODS 2021-25A E,98.91,99.007,0.097,98.724,-0.186,98.925,0.015,98.45,-0.46,99.305,0.395
DRSLF 2022-109A ER,93.75,93.824,0.074,93.93,0.18,95.483,1.733,93.206,-0.544,94.476,0.726
BRTPT 2023-1A ER,101.5,101.434,-0.066,101.507,0.007,101.149,-0.351,101.172,-0.328,101.111,-0.389
SHACK 2015-7RA E,91.0,91.049,0.049,88.25,-2.75,91.599,0.599,90.205,-0.795,91.39,0.39
RAD 2021-12A DR,99.75,99.797,0.047,99.608,-0.142,99.602,-0.148,99.569,-0.181,99.429,-0.321
CARVL 2022-1A ER,94.37,94.337,-0.033,94.272,-0.098,95.392,1.022,94.026,-0.344,93.638,-0.732
ELM39 2025-2A E1,100.54,100.557,0.017,100.43,-0.11,100.744,0.204,100.786,0.246,100.406,-0.134
